Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
The Lord of the Rings: The Return of the King (2003),8.9,Won 11 Oscars,209 wins & 124 nominations total,Peter Jackson,"$1,146,030,912",PG-13,3.9K,361,1.7M
A Man for All Seasons (1966),7.7,Won 6 Oscars,33 wins & 9 nominations total,Fred Zinnemann,"$2,000,000 (estimated)",G,201,86,34K
Glory (1989),7.8,Won 3 Oscars,14 wins & 18 nominations total,Edward Zwick,"$26,979,166",R,482,71,131K
Repulsion (1965),7.7,Awards,2 wins & 4 nominations total,Roman Polanski,"$33,174",Not Rated,249,122,52K
Taxi Driver (1976),8.2,Nominated for 4 Oscars,22 wins & 20 nominations total,Martin Scorsese,"$28,570,902",R,1.2K,307,770K
Die Hard: With a Vengeance (1995),7.6,Awards,2 wins & 3 nominations,John McTiernan,"$366,101,666",R,426,180,376K
The Prestige (2006),8.5,Nominated for 2 Oscars,6 wins & 45 nominations total,Christopher Nolan,"$109,676,311",PG-13,1.5K,372,1.3M
Der Untergang (2004),8.2,Nominated for 1 Oscar,22 wins & 34 nominations total,Oliver Hirschbiegel,"$92,181,574",R,667,115,344K
Ghostbusters (1984),7.8,Nominated for 2 Oscars,7 wins & 8 nominations total,Ivan Reitman,2.39 : 1,PG,644,277,385K
Ace in the Hole (1951),8.1,Nominated for 1 Oscar,4 wins & 3 nominations total,Billy Wilder,"$2,300,000",Approved,198,127,34K
Network (1976),8.1,Won 4 Oscars,20 wins & 26 nominations total,Sidney Lumet,"$23,690,757",R,422,187,153K
L.A. Confidential (1997),8.2,Won 2 Oscars,91 wins & 85 nominations total,Curtis Hanson,"$126,216,940",R,772,146,557K
Mulholland Dr. (2001),7.9,Nominated for 1 Oscar,49 wins & 61 nominations total,David Lynch,"$20,416,512",R,2K,253,341K
End of Watch (2012),7.6,Awards,3 wins & 10 nominations,David Ayer,"$55,078,146",R,446,375,238K
East of Eden (1955),7.9,Won 1 Oscar,13 wins & 10 nominations total,Elia Kazan,"$24,079",PG,218,99,44K
Eternal Sunshine of the Spotless Mind (2004),8.3,Won 1 Oscar,73 wins & 111 nominations total,Michel Gondry,"$74,036,715",R,1.9K,311,957K
Shutter Island (2010),8.2,Awards,11 wins & 66 nominations,Martin Scorsese,"$294,805,697",R,1.4K,531,1.2M
Catch Me If You Can (2002),8.1,Nominated for 2 Oscars,16 wins & 46 nominations total,Steven Spielberg,"$352,114,312",PG-13,936,212,901K
The Departed (2006),8.5,Won 4 Oscars,97 wins & 141 nominations total,Martin Scorsese,"$291,465,373",R,2.4K,306,1.3M
The Lord of the Rings: The Two Towers (2002),8.7,Won 2 Oscars,126 wins & 138 nominations total,Peter Jackson,"$947,495,095",PG-13,2.6K,328,1.6M
The Third Man (1949),8.1,Won 1 Oscar,5 wins & 4 nominations total,Carol Reed,"$1,226,797",Approved,502,207,166K
The Usual Suspects (1995),8.5,Won 2 Oscars,37 wins & 17 nominations total,Bryan Singer,"$23,341,568",R,1.4K,153,1M
Life of Pi (2012),7.9,Won 4 Oscars,81 wins & 135 nominations total,Ang Lee,"$609,016,565",PG,977,575,605K
The Town (2010),7.5,Nominated for 1 Oscar,9 wins & 46 nominations total,Ben Affleck,"$154,026,136",R,544,402,371K
The Green Mile (1999),8.6,Nominated for 4 Oscars,15 wins & 37 nominations total,Frank Darabont,"$286,801,374",R,1.9K,213,1.2M
"Il buono, il brutto, il cattivo (1966)",8.8,Awards,3 wins & 6 nominations,Sergio Leone,"$25,253,751",R,1.2K,147,724K
Casablanca (1942),8.5,Won 3 Oscars,10 wins & 9 nominations total,Michael Curtiz,"$4,376,287",PG,1.4K,212,547K
Wait Until Dark (1967),7.8,Nominated for 1 Oscar,5 nominations total,Terence Young,"$3,000,000 (estimated)",Not Rated,210,77,30K
Up in the Air (2009),7.4,Nominated for 6 Oscars,75 wins & 171 nominations total,Jason Reitman,"$166,842,739",R,561,416,328K
Das Boot (1981),8.3,Nominated for 6 Oscars,13 wins & 11 nominations total,Wolfgang Petersen,"Feb 14, 1982",R,561,416,328K
Serenity (2005),7.8,Awards,9 wins & 10 nominations,Joss Whedon,"$40,445,129",PG-13,1.7K,208,290K
In a Lonely Place (1950),8.0,Awards,3 wins,Nicholas Ray,"$21,493",Not Rated,211,122,30K
Rosemary's Baby (1968),8.0,Won 1 Oscar,11 wins & 12 nominations total,Roman Polanski,"$2,300,000 (estimated)",Approved,617,278,206K
The Curious Case of Benjamin Button (2008),7.8,Won 3 Oscars,83 wins & 160 nominations total,David Fincher,"$335,802,786",PG-13,1K,324,620K
Carrie (1976),7.4,Nominated for 2 Oscars,3 wins & 8 nominations total,Brian De Palma,"$33,800,000",R,596,184,178K
Raiders of the Lost Ark (1981),8.4,Won 5 Oscars,37 wins & 24 nominations total,Steven Spielberg,"$389,925,971",PG,1K,274,924K
Once Upon a Time in America (1984),8.3,Awards,12 wins & 12 nominations total,Sergio Leone,"$5,473,337",R,762,138,333K
Les choristes (2004),7.9,Nominated for 2 Oscars,12 wins & 24 nominations total,Christophe Barratier,"$88,385,944",PG-13,131,125,60K
Road to Perdition (2002),7.7,Won 1 Oscar,23 wins & 82 nominations total,Sam Mendes,"$181,001,478",R,1.1K,214,259K
Stalingrad (1993),7.5,Awards,3 wins & 1 nomination,Joseph Vilsmaier,"$152,972",Not Rated,171,33,34K
Dalkomhan insaeng (2005),7.5,Awards,7 wins & 6 nominations,Jee-woon Kim,"$10,080,094",Not Rated,100,91,39K
Die Hard (1988),8.2,Nominated for 4 Oscars,8 wins & 6 nominations total,John McTiernan,"$141,603,197",R,1K,215,828K
Gladiator (2000),8.5,Won 5 Oscars,59 wins & 106 nominations total,Ridley Scott,"$465,380,802",R,2.8K,221,1.4M
Slumdog Millionaire (2008),8.0,Won 8 Oscars,153 wins & 133 nominations total,Danny Boyle,2.35 : 1,R,1.2K,420,822K
Bound (1996),7.3,Awards,8 wins & 13 nominations,Lana Wachowski,"$3,802,260",R,235,140,54K
American History X (1998),8.5,Nominated for 1 Oscar,4 wins & 15 nominations total,Tony Kaye,"$23,875,127",R,1.6K,128,1.1M
Celda 211 (2009),7.6,Awards,44 wins & 27 nominations,Daniel Monzón,"$19,305,314",R,1.6K,128,1.1M
Kind Hearts and Coronets (1949),8.0,Awards,4 wins & 3 nominations total,Robert Hamer,"$145,583",Not Rated,164,116,36K
Léon (1994),8.5,Awards,6 wins & 15 nominations,Luc Besson,"$19,552,639",R,1.3K,150,1.1M
Changeling (2008),7.7,Nominated for 3 Oscars,14 wins & 55 nominations total,Clint Eastwood,"$113,398,237",R,480,280,248K
Back to the Future Part II (1989),7.8,Nominated for 1 Oscar,9 wins & 9 nominations total,Robert Zemeckis,"Nov 26, 1989",PG,473,150,506K
Black Swan (2010),8.0,Won 1 Oscar,97 wins & 279 nominations total,Darren Aronofsky,"$329,398,046",R,1.3K,711,730K
There Will Be Blood (2007),8.2,Won 2 Oscars,116 wins & 137 nominations total,Paul Thomas Anderson,"$76,182,388",R,1.4K,353,551K
The Treasure of the Sierra Madre (1948),8.2,Won 3 Oscars,16 wins & 8 nominations total,John Huston,"$5,014,000",Passed,304,104,121K
There's Something About Mary (1998),7.1,Awards,17 wins & 17 nominations,Bobby Farrelly,"$369,884,651",R,668,162,302K
The Train (1964),7.8,Nominated for 1 Oscar,1 win & 3 nominations total,John Frankenheimer,"$6,700,000 (estimated)",Not Rated,166,97,16K
Du rififi chez les hommes (1955),8.1,Awards,6 wins & 1 nomination,Jules Dassin,"$521,342",Not Rated,142,111,33K
District 9 (2009),7.9,Nominated for 4 Oscars,31 wins & 117 nominations total,Neill Blomkamp,"$210,888,950",R,1.4K,501,659K
Psycho (1960),8.5,Nominated for 4 Oscars,7 wins & 14 nominations total,Alfred Hitchcock,"$32,041,845",R,1.4K,250,638K
Notorious (1946),8.0,Nominated for 2 Oscars,3 wins & 3 nominations total,Alfred Hitchcock,"$113,061",Not Rated,369,154,98K
Memento (2000),8.4,Nominated for 2 Oscars,57 wins & 59 nominations total,Christopher Nolan,"$40,047,078",R,2.4K,233,1.2M
Apocalypto (2006),7.8,Nominated for 3 Oscars,9 wins & 23 nominations total,Mel Gibson,"$120,673,227",R,1.2K,298,302K
Blow Out (1981),7.4,Awards,2 nominations,Brian De Palma,"$12,000,754",R,220,124,50K
The Dark Knight (2008),9.0,Won 2 Oscars,159 wins & 163 nominations total,Christopher Nolan,"$1,005,973,645",PG-13,7.7K,433,2.4M
Ascenseur pour l'échafaud (1958),8.0,Awards,1 win,Louis Malle,"$431,784",Not Rated,116,137,24K
Full Metal Jacket (1987),8.3,Nominated for 1 Oscar,8 wins & 15 nominations total,Stanley Kubrick,"Jun 28, 1987",R,910,172,707K
Evil Dead II (1987),7.7,Awards,5 nominations,Sam Raimi,"$5,924,421",R,640,306,156K
One Flew Over the Cuckoo's Nest (1975),8.7,Won 5 Oscars,38 wins & 16 nominations total,Milos Forman,"$109,114,817",R,1K,186,962K
Das Leben der Anderen (2006),8.4,Won 1 Oscar,80 wins & 38 nominations total,Florian Henckel von Donnersmarck,"$77,356,942",R,541,228,376K
The Godfather (1972),9.2,Won 3 Oscars,31 wins & 30 nominations total,Francis Ford Coppola,"$246,120,986",R,4.7K,269,1.7M
Fargo (1996),8.1,Won 2 Oscars,83 wins & 58 nominations total,Joel Coen,"$60,611,975",R,1K,243,649K
The Kid (1921),8.3,Awards,2 wins,Charles Chaplin,"$39,860",Passed,222,117,121K
RoboCop (1987),7.6,Won 1 Oscar,11 wins & 13 nominations total,Paul Verhoeven,"$53,425,389",R,582,294,246K
Star Wars (1977),8.6,Won 7 Oscars,63 wins & 29 nominations total,George Lucas,"May 30, 1977",PG,2K,206,1.3M
Smultronstället (1957),8.2,Nominated for 1 Oscar,18 wins & 4 nominations total,Ingmar Bergman,"$14,524",Not Rated,211,106,103K
The Pianist (2002),8.5,Won 3 Oscars,57 wins & 74 nominations total,Roman Polanski,"$120,072,577",R,1K,136,780K
'Breaker' Morant (1980),7.9,Nominated for 1 Oscar,13 wins & 8 nominations total,Bruce Beresford,"A$800,000 (estimated)",PG,108,60,13K
Intouchables (2011),8.5,Awards,38 wins & 40 nominations total,Olivier Nakache,"$426,588,510",R,723,331,806K
Eastern Promises (2007),7.6,Nominated for 1 Oscar,28 wins & 74 nominations total,David Cronenberg,"$56,107,312",R,449,294,236K
The Miracle Worker (1962),8.1,Won 2 Oscars,11 wins & 12 nominations total,Arthur Penn,"$4,139",Approved,108,50,18K
Cat on a Hot Tin Roof (1958),8.0,Nominated for 6 Oscars,3 wins & 16 nominations total,Richard Brooks,"$3,000,000 (estimated)",Not Rated,183,88,48K
21 Grams (2003),7.6,Nominated for 2 Oscars,30 wins & 79 nominations total,Alejandro G. Iñárritu,"$60,427,839",R,592,179,232K
No Country for Old Men (2007),8.1,Won 4 Oscars,163 wins & 140 nominations total,Ethan Coen,"$171,627,166",R,2K,530,912K
Gravity (2013),7.7,Won 7 Oscars,238 wins & 187 nominations total,Alfonso Cuarón,"$723,192,705",PG-13,2.2K,789,797K
The General (1926),8.1,Awards,2 wins & 1 nomination,Clyde Bruckman,"$750,000 (estimated)",Passed,320,121,88K
All the President's Men (1976),8.0,Won 4 Oscars,17 wins & 21 nominations total,Alan J. Pakula,"$70,600,000",PG,274,157,111K
The Lion in Winter (1968),7.9,Won 3 Oscars,15 wins & 18 nominations total,Anthony Harvey,"$18,177",PG,197,72,31K
Barry Lyndon (1975),8.1,Won 4 Oscars,19 wins & 15 nominations total,Stanley Kubrick,"$198,992",PG,506,116,160K
Rain Man (1988),8.0,Won 4 Oscars,26 wins & 23 nominations total,Barry Levinson,"$354,825,435",R,490,102,493K
"Lock, Stock and Two Smoking Barrels (1998)",8.2,Awards,13 wins & 9 nominations total,Guy Ritchie,"$3,753,929",R,621,119,559K
The Great Escape (1963),8.2,Nominated for 1 Oscar,3 wins & 11 nominations total,John Sturges,"$228,178",Approved,397,119,236K
Pirates of the Caribbean: The Curse of the Black Pearl (2003),8.0,Nominated for 5 Oscars,38 wins & 104 nominations total,Gore Verbinski,"$654,264,015",PG-13,2.2K,190,1.1M
Reservoir Dogs (1992),8.3,Awards,12 wins & 23 nominations,Quentin Tarantino,"$2,913,644",R,1.2K,198,967K
Rush (2013),8.1,Awards,6 wins & 65 nominations total,Ron Howard,"$96,983,009",R,629,428,457K
The Last Seduction (1994),7.1,Awards,9 wins & 10 nominations total,John Dahl,"$5,842,603",R,151,83,23K
Shrek (2001),7.9,Won 1 Oscar,40 wins & 60 nominations total,Andrew Adamson,"May 20, 2001",PG,1.1K,176,644K
The Thing (1982),8.1,Awards,3 nominations,John Carpenter,"$19,632,053",R,1.2K,374,398K
Stalag 17 (1953),8.0,Won 1 Oscar,2 wins & 6 nominations total,Billy Wilder,"$1,661,530 (estimated)",Not Rated,171,104,54K
Some Like It Hot (1959),8.2,Won 1 Oscar,15 wins & 15 nominations total,Billy Wilder,"$195,088",Passed,467,231,256K
Boksuneun naui geot (2002),7.6,Awards,7 wins & 5 nominations,Park Chan-Wook,"$2,046,061",R,154,154,66K
Snatch (2000),8.3,Awards,4 wins & 7 nominations,Guy Ritchie,"$83,557,872",R,896,167,819K
Amores perros (2000),8.1,Nominated for 1 Oscar,55 wins & 25 nominations total,Alejandro G. Iñárritu,"$20,908,467",R,418,170,233K
The Princess Bride (1987),8.1,Nominated for 1 Oscar,7 wins & 10 nominations total,Rob Reiner,"$30,902,442",PG,925,227,412K
Frankenstein (1931),7.8,Awards,4 wins & 3 nominations,James Whale,"$1,626",Passed,639,142,70K
Blade Runner (1982),8.1,Nominated for 2 Oscars,12 wins & 19 nominations total,Ridley Scott,"$41,676,878",R,1.6K,277,730K
Twelve Monkeys (1995),8.0,Nominated for 2 Oscars,10 wins & 25 nominations total,Terry Gilliam,"$168,839,459",R,708,202,599K
El secreto de sus ojos (2009),8.2,Won 1 Oscar,53 wins & 43 nominations total,Juan José Campanella,"$35,079,650",R,336,288,202K
Idi i smotri (1985),8.3,Awards,3 wins,Elem Klimov,"$20,929,068",Not Rated,594,133,70K
Salinui chueok (2003),8.1,Awards,31 wins & 4 nominations,Bong Joon Ho,"$1,166,717",Not Rated,339,174,163K
Good Will Hunting (1997),8.3,Won 2 Oscars,24 wins & 61 nominations total,Gus Van Sant,"$225,933,435",R,971,166,910K
Sideways (2004),7.5,Won 1 Oscar,122 wins & 91 nominations total,Alexander Payne,"$109,706,931",R,909,183,186K
The Truman Show (1998),8.1,Nominated for 3 Oscars,40 wins & 69 nominations total,Peter Weir,"$264,118,201",PG,1.3K,253,1M
Terminator 2: Judgment Day (1991),8.5,Won 4 Oscars,36 wins & 33 nominations total,James Cameron,"$520,881,154",R,1.4K,313,1M
Menace II Society (1993),7.5,Awards,2 wins & 4 nominations,Albert Hughes,"$27,912,072",R,139,37,56K
The Terminator (1984),8.0,Awards,8 wins & 6 nominations,James Cameron,"$78,371,200",R,992,249,825K
Down by Law (1986),7.7,Awards,4 wins & 6 nominations,Jim Jarmusch,"$1,504,286",R,117,85,50K
V for Vendetta (2005),8.1,Awards,7 wins & 29 nominations,James McTeigue,"$132,511,035",R,2.3K,203,1.1M
Chinatown (1974),8.2,Won 1 Oscar,21 wins & 24 nominations total,Roman Polanski,"$29,225,935",R,587,162,312K
Young Frankenstein (1974),8.0,Nominated for 2 Oscars,11 wins & 8 nominations total,Mel Brooks,"$86,273,333",PG,393,126,153K
Minority Report (2002),7.6,Nominated for 1 Oscar,20 wins & 91 nominations total,Steven Spielberg,"$358,372,926",PG-13,1.4K,266,530K
Mar adentro (2004),8.0,Won 1 Oscar,69 wins & 38 nominations total,Alejandro Amenábar,"$43,731,621",PG-13,147,161,80K
Planet of the Apes (1968),8.0,Won 1 Oscar,6 wins & 4 nominations total,Franklin J. Schaffner,"$32,599,488",G,476,170,174K
Interview with the Vampire: The Vampire Chronicles (1994),7.5,Nominated for 2 Oscars,24 wins & 36 nominations total,Neil Jordan,"$223,664,608",R,497,75,307K
Midnight Cowboy (1969),7.8,Won 3 Oscars,28 wins & 16 nominations total,John Schlesinger,"$44,785,053",X,415,136,107K
Marathon Man (1976),7.4,Nominated for 1 Oscar,4 wins & 11 nominations total,John Schlesinger,"$21,709,020",R,202,97,61K
The Wild Bunch (1969),7.9,Nominated for 2 Oscars,6 wins & 8 nominations total,Sam Peckinpah,"$638,641",R,350,134,82K
Being There (1979),8.0,Won 1 Oscar,14 wins & 15 nominations total,Hal Ashby,"$30,177,511",PG,353,126,70K
Per qualche dollaro in più (1965),8.2,Awards,2 nominations,Sergio Leone,"$15,000,000",R,325,99,246K
Ugetsu monogatari (1953),8.2,Nominated for 1 Oscar,5 wins & 2 nominations total,Kenji Mizoguchi,"$24,959",Not Rated,98,103,23K
The Haunting (1963),7.5,Awards,2 nominations,Robert Wise,$742,G,445,109,38K
Zulu (1964),7.7,Awards,1 nomination total,Cy Endfield,Zulu - Die Schlacht von Rorkes Drift,Not Rated,279,44,38K
Almost Famous (2000),7.9,Won 1 Oscar,53 wins & 103 nominations total,Cameron Crowe,"$47,386,287",R,916,171,267K
Targets (1968),7.4,Awards,1 win,Peter Bogdanovich,"$130,000 (estimated)",R,109,83,9.2K
Interstellar (2014),8.6,Won 1 Oscar,44 wins & 148 nominations total,Christopher Nolan,"$701,729,206",PG-13,4.8K,633,1.6M
What's Eating Gilbert Grape (1993),7.7,Nominated for 1 Oscar,8 wins & 7 nominations total,Lasse Hallström,"$10,032,765",PG-13,389,95,227K
Body Heat (1981),7.4,Awards,6 nominations total,Lawrence Kasdan,"$24,058,838",R,198,76,34K
Bad Day at Black Rock (1955),7.7,Nominated for 3 Oscars,4 wins & 8 nominations total,John Sturges,"$10,813",Passed,174,71,21K
Run Silent Run Deep (1958),7.3,Awards,1 nomination,Robert Wise,Approved,Approved,90,41,11K
What Ever Happened to Baby Jane? (1962),8.1,Won 1 Oscar,4 wins & 11 nominations total,Robert Aldrich,"$980,000 (estimated)",Passed,265,115,53K
Dirty Harry (1971),7.7,Awards,2 wins & 4 nominations,Don Siegel,"$35,976,000",R,400,151,151K
Kumonosu-jô (1957),8.1,Awards,4 wins & 2 nominations,Akira Kurosawa,"$46,808",Not Rated,162,95,50K
Predator (1987),7.8,Nominated for 1 Oscar,3 wins & 6 nominations total,John McTiernan,"$98,268,458",R,873,277,391K
Man on Fire (2004),7.7,Awards,1 win & 7 nominations,Tony Scott,"$130,834,852",R,849,159,348K
Trance (2013),6.9,Awards,3 wins & 3 nominations,Danny Boyle,"$24,261,569",R,244,407,112K
The Revenant (2015),8.0,Won 3 Oscars,92 wins & 188 nominations total,Alejandro G. Iñárritu,"$532,950,503",R,1.7K,654,752K
Cloud Atlas (2012),7.4,Awards,15 wins & 79 nominations,Tom Tykwer,"$130,516,424",R,1K,527,354K
Shallow Grave (1994),7.3,Awards,14 wins & 1 nomination total,Danny Boyle,"$2,079,569",R,165,80,59K
Cast Away (2000),7.8,Nominated for 2 Oscars,15 wins & 38 nominations total,Robert Zemeckis,"$429,632,142",PG-13,1.2K,109,559K
The Conjuring (2013),7.5,Awards,15 wins & 22 nominations,James Wan,"$320,290,989",R,1.2K,574,480K
American Hustle (2013),7.2,Nominated for 10 Oscars,69 wins & 227 nominations total,David O. Russell,"$251,171,807",R,845,551,465K
Falling Down (1993),7.6,Awards,1 win & 2 nominations,Joel Schumacher,"$40,903,593",R,492,96,182K
Kingsman: The Secret Service (2014),7.7,Awards,10 wins & 32 nominations,Matthew Vaughn,"$414,351,546",R,1K,476,623K
Gone Baby Gone (2007),7.6,Nominated for 1 Oscar,33 wins & 32 nominations total,Ben Affleck,"$34,612,443",R,623,272,264K
Dark Water (2005),5.6,Awards,6 nominations,Walter Salles,"$68,357,079",PG-13,457,204,61K
Dead Man Walking (1995),7.5,Won 1 Oscar,23 wins & 23 nominations total,Tim Robbins,"$39,363,635",R,232,70,92K
The Killers (1946),7.8,Nominated for 4 Oscars,3 wins & 4 nominations total,Robert Siodmak,"$58,222",Passed,136,110,20K
Wall Street (1987),7.4,Won 1 Oscar,10 wins & 5 nominations total,Oliver Stone,"$43,848,069",R,249,124,150K
Whiplash (2014),8.5,Won 3 Oscars,98 wins & 145 nominations total,Damien Chazelle,"$49,396,747",R,1.4K,592,775K
Moulin Rouge! (2001),7.6,Won 2 Oscars,87 wins & 132 nominations total,Baz Luhrmann,"$184,935,320",PG-13,2.3K,210,275K
Training Day (2001),7.7,Won 1 Oscar,18 wins & 23 nominations total,Antoine Fuqua,"$104,876,233",R,757,125,413K
Unlawful Entry (1992),6.3,Awards,1 nomination,Jonathan Kaplan,"$57,138,719",R,85,33,16K
Meet the Parents (2000),7.0,Nominated for 1 Oscar,7 wins & 15 nominations total,Jay Roach,"$330,444,045",PG-13,537,134,323K
The Hurricane (1999),7.6,Nominated for 1 Oscar,7 wins & 18 nominations total,Norman Jewison,"$73,956,241",R,292,68,95K
Moonstruck (1987),7.1,Won 3 Oscars,18 wins & 19 nominations total,Norman Jewison,"Dec 20, 1987",PG,187,86,56K
Dawn of the Planet of the Apes (2014),7.6,Nominated for 1 Oscar,17 wins & 48 nominations total,Matt Reeves,"$710,644,566",PG-13,700,563,426K
The Deep End (2001),6.6,Awards,4 wins & 19 nominations,Scott McGehee,"$10,031,529",R,184,96,11K
Heartbreakers (2001),6.2,Awards,4 nominations,David Mirkin,"$57,756,408",PG-13,233,98,53K
Three Kings (1999),7.1,Awards,8 wins & 19 nominations,David O. Russell,2.39 : 1,R,576,121,167K
The Quiet American (2002),7.0,Nominated for 1 Oscar,13 wins & 14 nominations total,Phillip Noyce,"$27,674,124",R,211,74,28K
Pacific Heights (1990),6.4,Nominated for 1 Oscar,13 wins & 14 nominations total,Phillip Noyce,"$44,926,706",R,211,74,28K
Marty (1955),7.7,Won 4 Oscars,19 wins & 6 nominations total,Delbert Mann,"$343,000 (estimated)",Not Rated,176,83,23K
A Bronx Tale (1993),7.8,Awards,1 win & 3 nominations,Robert De Niro,"$17,287,898",R,239,56,135K
Midnight in Paris (2011),7.7,Won 1 Oscar,26 wins & 103 nominations total,Woody Allen,"$151,728,412",PG-13,698,535,406K
The Drop (2014),7.1,Awards,4 wins & 5 nominations,Michaël R. Roskam,"$18,658,381",R,287,303,149K
Skyfall (2012),7.8,Won 2 Oscars,67 wins & 123 nominations total,Sam Mendes,"$1,108,569,499",PG-13,1.6K,542,671K
The Reader (2008),7.6,Won 1 Oscar,26 wins & 48 nominations total,Stephen Daldry,"$108,902,486",R,468,296,238K
The Boondock Saints (1999),7.7,Won 1 Oscar,26 wins & 48 nominations total,Stephen Daldry,"$30,471",R,468,296,238K
L'instinct de mort (2008),7.5,Awards,8 wins & 15 nominations,Jean-François Richet,"$31,076,533",R,68,144,33K
The Station Agent (2003),7.6,Awards,29 wins & 31 nominations total,Tom McCarthy,"$8,701,337",R,315,165,69K
The English Patient (1996),7.4,Won 9 Oscars,62 wins & 77 nominations total,Anthony Minghella,"$231,976,425",R,541,129,185K
Looper (2012),7.4,Awards,18 wins & 47 nominations,Rian Johnson,"$176,506,819",R,815,630,554K
The Good Lie (2014),7.4,Awards,3 wins & 7 nominations,Philippe Falardeau,"Oct 5, 2014",PG-13,96,103,28K
Shooting Dogs (2005),7.7,Awards,1 win & 3 nominations total,Michael Caton-Jones,"$558,588",R,51,75,11K
Patton (1970),7.9,Won 7 Oscars,24 wins & 8 nominations total,Franklin J. Schaffner,"$61,749,765",PG,314,130,99K
Ex Machina (2014),7.7,Won 1 Oscar,73 wins & 161 nominations total,Alex Garland,"$36,869,414",R,1K,432,509K
Of Mice and Men (1992),7.5,Awards,1 nomination,Gary Sinise,"$5,471,088",PG-13,219,35,43K
Sunshine Cleaning (2008),6.8,Awards,2 wins & 6 nominations,Christine Jeffs,"$16,580,250",R,150,177,71K
Nevada Smith (1966),6.9,Awards,1 nomination,Henry Hathaway,"$14,170,000",Not Rated,90,19,8K
Volver (2006),7.6,Nominated for 1 Oscar,61 wins & 95 nominations total,Pedro Almodóvar,"$85,585,177",R,252,136,98K
The Martian (2015),8.0,Nominated for 7 Oscars,38 wins & 200 nominations total,Ridley Scott,"$630,162,448",PG-13,1.4K,636,805K
Mad Max: Fury Road (2015),8.1,Won 6 Oscars,245 wins & 231 nominations total,George Miller,"$375,658,750",R,2.1K,843,939K
Inglourious Basterds (2009),8.3,Won 1 Oscar,133 wins & 172 nominations total,Quentin Tarantino,"$321,457,747",R,2K,412,1.3M
How to Train Your Dragon (2010),8.1,Nominated for 2 Oscars,25 wins & 63 nominations total,Dean DeBlois,"$494,879,471",PG,677,194,700K
Män som hatar kvinnor (2009),7.8,Awards,18 wins & 35 nominations total,Niels Arden Oplev,"$104,414,200",R,329,339,213K
Fantastic Mr. Fox (2009),7.9,Nominated for 2 Oscars,32 wins & 63 nominations total,Wes Anderson,"$46,474,181",PG,372,352,216K
Batman (1989),7.5,Won 1 Oscar,9 wins & 26 nominations total,Tim Burton,"$411,508,343",PG-13,991,241,355K
Sherlock Holmes (2009),7.6,Nominated for 2 Oscars,10 wins & 31 nominations total,Guy Ritchie,"$524,028,679",PG-13,740,427,608K
Kung Fu Panda (2008),7.6,Nominated for 1 Oscar,14 wins & 39 nominations total,Mark Osborne,"$631,746,197",PG,483,278,442K
Flipped (2010),7.7,Awards,2 wins & 2 nominations,Rob Reiner,"$4,324,817",PG,213,79,87K
The Bourne Supremacy (2004),7.7,Awards,5 wins & 22 nominations,Paul Greengrass,"$290,835,269",PG-13,886,251,449K
Star Trek II: The Wrath of Khan (1982),7.7,Awards,3 wins & 9 nominations,Nicholas Meyer,"$78,912,963",PG,421,124,117K
The Day of the Jackal (1973),7.8,Nominated for 1 Oscar,1 win & 11 nominations total,Fred Zinnemann,"$16,056,255",PG,234,73,40K
Sunrise: A Song of Two Humans (1927),8.1,Won 3 Oscars,6 wins & 2 nominations total,F.W. Murnau,"$121,107",Passed,277,122,50K
The Hobbit: The Desolation of Smaug (2013),7.8,Nominated for 3 Oscars,19 wins & 90 nominations total,Peter Jackson,"$959,007,513",PG-13,1K,541,627K
Inside Out (2015),8.1,Won 1 Oscar,100 wins & 116 nominations total,Pete Docter,"$858,848,019",PG,1.1K,599,662K
La cara oculta (2011),7.4,Awards,2 wins & 7 nominations,Andrés Baiz,"$6,318,409",R,93,64,41K
El cuerpo (2012),7.6,Awards,3 wins & 10 nominations,Oriol Paulo,"$8,779,609",R,93,64,41K
Los ojos de Julia (2010),6.7,Awards,11 nominations,Guillem Morales,"$16,934,369",Not Rated,78,136,35K
Ang-ma-reul bo-at-da (2010),7.8,Awards,17 wins & 19 nominations,Jee-woon Kim,"$12,966,357",Not Rated,382,291,122K
M - Eine Stadt sucht einen Mörder (1931),8.3,Awards,2 wins,Fritz Lang,"$35,566",Passed,394,176,152K
El espinazo del diablo (2001),7.4,Awards,6 wins & 12 nominations,Guillermo del Toro,"$6,582,065",R,239,167,64K
Nueve reinas (2000),7.9,Awards,22 wins & 8 nominations,Fabián Bielinsky,"$12,413,888",R,132,104,52K
Source Code (2011),7.5,Awards,1 win & 8 nominations,Duncan Jones,"$147,332,697",PG-13,688,542,503K
Profondo rosso (1975),7.6,Awards,1 win & 2 nominations,Dario Argento,Dripping Deep Red,R,249,233,36K
Insomnia (1997),7.3,Awards,2 nominations,Erik Skjoldbjærg,"$227,569",Not Rated,99,72,14K
Funny Games (1997),7.6,Awards,5 wins & 9 nominations,Michael Haneke,Забавні ігри,Not Rated,375,147,70K
The Jungle Book (2016),7.4,Won 1 Oscar,33 wins & 54 nominations total,Jon Favreau,"$966,554,929",PG,623,461,269K
Omoide no Mânî (2014),7.7,Nominated for 1 Oscar,4 wins & 18 nominations total,Hiromasa Yonebayashi,"$34,949,567",PG,117,183,37K
